Stage;Max(12th loop);Min_abnormal(11th loop);Time_Difference(Max-Min)
RestoreOS: Restore: update_veridian;0.6811;0.6681;0.013
RestoreOS: Restore: update_iBoot;9.2222;9.4307;-0.2085
RestoreOS: Restore: update_ean;0.4797;0.4612;0.0185
RestoreOS: Restore: update_stockholm;0.0274;0.0293;-0.0019
RestoreOS: Restore: update_rose;0.0186;0.0198;-0.0012
RestoreOS: Restore: update_se;0.0226;0.0225;0.0001
RestoreOS: Restore: update_tcon;0.0148;0.0127;0.0021
RestoreOS: Restore: update_appletcon;0.0166;0.0155;0.0011
RestoreOS: Restore: update_orion;0.0157;0.0154;0.0003
RestoreOS: Restore: update_madea;0.0133;0.0122;0.0011
RestoreOS: Restore: update_peppy;0.0108;0.0111;-0.0003
RestoreOS: Restore: update_nitrogen;0.0095999999999999;0.0128;-0.0032
RestoreOS: Restore: update_usbc;0.0091;0.0125;-0.0034
RestoreOS: Restore: update_centauri;21.3338;19.1312;2.2026
RestoreOS: Restore: await_update_tcon;0.03;0.0293;0.0007
RestoreOS: Restore: await_update_appletcon;0.012;0.0133;-0.0013
RestoreOS: Restore: await_update_orion;0.0139;0.014;-0.0001
RestoreOS: Restore: await_update_peppy;0.0119;0.0112;0.0007
RestoreOS: Restore: await_update_nitrogen;0.0132;0.0137;-0.0005
RestoreOS: Restore: await_update_usbc;0.0109;0.0126;-0.0017
RestoreOS: Restore: update_ace3;11.2917;11.1438;0.1479
RestoreOS: Restore: update_usbcretimer;103.2708;103.1062;0.1646
RestoreOS: Restore: update_PFX;0.0719999999999999;0.0733;-0.0013
RestoreOS: Restore: update_PS190;78.2221;78.1188;0.1033
RestoreOS: Restore: await_update_stockholm;0.0133;0.0134;-0.0001
RestoreOS: Restore: await_update_rose;0.0147;0.0133;0.0014
RestoreOS: Restore: await_update_se;0.0115;0.0118;-0.0003
RestoreOS: Restore: await_update_update_veridian;0.0133;0.0138;-0.0005
RestoreOS: Restore: update_device_firmware;0.0357;0.0359;-0.0002
RestoreOS: Restore: certify_yonkers;0.0105;0.0092;0.0013
RestoreOS: Restore: aru_pre_seal_tasks;0.0287;0.0342;-0.0055
RestoreOS: Restore: dotara_lock;0.0069;0.008;-0.0011
RestoreOS: Restore: update_syscfg;5.732;5.7763;-0.0443
RestoreOS: Restore: submit_provinfo;0.0097;0.0095;0.0002
RestoreOS: Restore: verify_fdr_data;6.8864;6.9009;-0.0145
RestoreOS: Restore: update_rose_postseal;0.0731;0.073;0.0001
RestoreOS: Restore: stage_fdr_ean;0.0522;0.0511;0.0011
RestoreOS: Restore: ensure_fdr_ean;0.0425;0.0402;0.0023
RestoreOS: Restore: update_fdr_ean;1.0368;1.029;0.0078
RestoreOS: Restore: update_fillmore;0.011;0.0115;-0.0005
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0117;0.0116;0.0001
RestoreOS: Restore: commit_sep_os;4.1147;4.1166;-0.0019
RestoreOS: Restore: run_sep_eeprom_test;22.8526;22.9969;-0.1443
RestoreOS: Restore: pair_stockholm;0.0099;0.0086999999999999;0.0012
RestoreOS: Restore: verify_se_pairing;0.0069;0.0088;-0.0019
RestoreOS: Restore: await_system_image_invert_retry;1023.6685;1022.6949;0.9736
RestoreOS: Restore: create_protected_filesystems;5.6845;5.6642;0.0203
RestoreOS: Restore: create_volume_group;0.0366;0.0367;-0.0001
RestoreOS: Restore: reserve_overprov_space;0.0092999999999999;0.0094;-0.0001
RestoreOS: Restore: install_regulatory_images;1.0158;0.9923;0.0235
RestoreOS: Restore: read_new_os_build_version;0.0195;0.0201;-0.0006
RestoreOS: Restore: install_splat;0.0241;0.0231;0.001
RestoreOS: Restore: install_root;0.0073;0.0073;0.0
RestoreOS: Restore: install_overlay_roots;0.1107;0.1111;-0.0004
RestoreOS: Restore: install_splat_overlay_roots;0.0145;0.0149;-0.0004
RestoreOS: Restore: install_regulatory_images_root;0.0143;0.0144;-0.0001
RestoreOS: Restore: install_update_volume_root;0.0116;0.0115;0.0001
RestoreOS: Restore: restored_fixup_system;583.8671;575.1641;8.703
RestoreOS: Restore: write_ticket;0.0362;0.0363;-0.0001
RestoreOS: Restore: fixup_var;0.8251;0.8318;-0.0067
RestoreOS: Restore: create_partition_mountpoints;0.0241;0.0241;0.0
RestoreOS: Restore: factory_restore_marker;0.0115;0.0116;-0.0001
RestoreOS: Restore: factory_ucrt;6.1609;6.1739;-0.013
RestoreOS: Restore: factory_mac_check_flag;0.0123;0.0122;0.0001
RestoreOS: Restore: aru_post_seal_tasks;0.0214;0.0214;0.0
RestoreOS: Restore: factory_sad_config;0.0112;0.0114;-0.0002
RestoreOS: Restore: create_production_ucrt;0.0117;0.0119;-0.0002
RestoreOS: Restore: create_production_dcrt;0.0105;0.0104;0.0001
RestoreOS: Restore: store_device_time;0.0195;0.0197;-0.0002
RestoreOS: Restore: attest_restore;37.4069;37.4013;0.0056
RestoreOS: Restore: set_one_time_boot_command;0.0126;0.0126;0.0
RestoreOS: Restore: set_nvram_variables;0.0275;0.0284;-0.0009
RestoreOS: Restore: persistent_boot_args;0.0181;0.0182;-0.0001
RestoreOS: Restore: set_tdm;0.0078;0.0079;-0.0001
RestoreOS: Restore: unprovision_mesa;0.0369;0.0367;0.0002
