Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-15_21-47-39-0x1810862220011C;
DFU Mode: Restore;5.5987;
DFU Mode: Transitioning;3.1846;
Recovery: Restore;8.5692;
Recovery: Transitioning;61.4087;
RestoreOS: Restore;2426.7186;
RestoreOS: Transitioning;141.1027;
Total Restore Time;2646.583;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0.0001;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0.008200000000000001;
RestoreOS: Restore: copy_restore_options;0.2699;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0066;
RestoreOS: Restore: network_config_enforce;0.0065;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008200000000000001;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0235;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0067;
RestoreOS: Restore: check_battery_voltage;0.0114;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0231;
RestoreOS: Restore: update_ticket;0.0183;
RestoreOS: Restore: wait_for_storage;0.0481;
RestoreOS: Restore: update_NAND_firmware;8.948;
RestoreOS: Restore: clear_remap_variable;0.0112;
RestoreOS: Restore: print_nvram_variables;0.067;
RestoreOS: Restore: asp_nand_set_writable;0.0075;
RestoreOS: Restore: find_filesystem_partitions;0.06;
RestoreOS: Restore: verify_storage_for_update;0.0069;
RestoreOS: Restore: load_sep_os;2.9226;
RestoreOS: Restore: preload_keys_for_fsck;0.0092;
RestoreOS: Restore: fsck_filesystems;0.0155;
RestoreOS: Restore: mount_system_partition;1.0849;
RestoreOS: Restore: fix_cache_delete;0.0075;
RestoreOS: Restore: clean_update_volume;0.0065;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0063;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0071;
RestoreOS: Restore: fdr_create;3.3709;
RestoreOS: Restore: fdr_save_data;0.0102;
RestoreOS: Restore: sep_attest_qa;0.0091;
RestoreOS: Restore: certify_sep;0.0075;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008500000000000001;
RestoreOS: Restore: check_for_restore_log;0.008999999999999999;
RestoreOS: Restore: check_for_uncollected_logs;0.0081;
RestoreOS: Restore: read_persistent_files;0.6975;
RestoreOS: Restore: unmount_unconditionally;0.0324;
RestoreOS: Restore: clean_nand;2.8897;
RestoreOS: Restore: clear_nvram;0.008200000000000001;
RestoreOS: Restore: clear_bootpolicy_nvram;0.023;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0146;
RestoreOS: Restore: create_filesystem_partitions;0.0635;
RestoreOS: Restore: update_partitions_for_apfs;0.0144;
RestoreOS: Restore: reload_filesystem_partitions;0.031;
RestoreOS: Restore: format_media;8.7018;
RestoreOS: Restore: find_volumes_after_format;0.0528;
RestoreOS: Restore: provision_mesa;0.0103;
RestoreOS: Restore: prepare_for_system_image;2.5284;
RestoreOS: Restore: init_gigalocker;1.5529;
RestoreOS: Restore: init_permanent_update_volume;1.4977;
RestoreOS: Restore: mount_filesystem;2.0121;
RestoreOS: Restore: restore_system_image;0.0107;
RestoreOS: Restore: write_persistent_files;0.0464;
RestoreOS: Restore: perform_short_prepare;0.008399999999999999;
RestoreOS: Restore: fdr_restore_saved_data;0.0332;
RestoreOS: Restore: write_factory_version_plist;0.0113;
RestoreOS: Restore: update_aht;0.1445;
RestoreOS: Restore: fdr_prepare;0.0155;
RestoreOS: Restore: install_stage1_firmware;0.007900000000000001;
RestoreOS: Restore: aru_migrate_data;0.009299999999999999;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;13.0851;
RestoreOS: Restore: fdr_auto_challenge_claim;0.008;
RestoreOS: Restore: send_provisioning_info;0.0092;
RestoreOS: Restore: certify_lynx;0.1771;
RestoreOS: Restore: write_0cfg;0.0569;
RestoreOS: Restore: update_veridian;0.6842;
RestoreOS: Restore: update_iBoot;9.3857;
RestoreOS: Restore: update_ean;0.4996;
RestoreOS: Restore: update_stockholm;0.0286;
RestoreOS: Restore: update_rose;0.0179;
RestoreOS: Restore: update_se;0.0148;
RestoreOS: Restore: update_tcon;0.0149;
RestoreOS: Restore: update_appletcon;0.0163;
RestoreOS: Restore: update_orion;0.012;
RestoreOS: Restore: update_madea;0.0127;
RestoreOS: Restore: update_peppy;0.0112;
RestoreOS: Restore: update_nitrogen;0.0129;
RestoreOS: Restore: update_usbc;0.0128;
RestoreOS: Restore: update_centauri;18.9056;
RestoreOS: Restore: await_update_tcon;0.0296;
RestoreOS: Restore: await_update_appletcon;0.0115;
RestoreOS: Restore: await_update_orion;0.0108;
RestoreOS: Restore: await_update_peppy;0.0141;
