Stage;Max_abnormal(9th loop);Min(2nd loop);Time_Difference(Max-Min)
RestoreOS: Restore: update_veridian;0.6902;0.6787;0.0115
RestoreOS: Restore: update_iBoot;9.3492;9.5607;-0.2115
RestoreOS: Restore: update_ean;0.5126;0.4936;0.019
RestoreOS: Restore: update_stockholm;0.0295;0.0285;0.001
RestoreOS: Restore: update_rose;0.0179;0.0187;-0.0008
RestoreOS: Restore: update_se;0.0223;0.0197;0.0026
RestoreOS: Restore: update_tcon;0.015;0.0148;0.0002
RestoreOS: Restore: update_appletcon;0.0124;0.0159;-0.0035
RestoreOS: Restore: update_orion;0.0156;0.0169;-0.0013
RestoreOS: Restore: update_madea;0.0119;0.0097;0.0022
RestoreOS: Restore: update_peppy;0.0113;0.011;0.0003
RestoreOS: Restore: update_nitrogen;0.013;0.0091;0.0039
RestoreOS: Restore: update_usbc;0.0095999999999999;0.0128;-0.0032
RestoreOS: Restore: update_centauri;18.6263;19.7126;-1.0863
RestoreOS: Restore: await_update_tcon;0.0277;0.0288;-0.0011
RestoreOS: Restore: await_update_appletcon;0.0135;0.0133;0.0002
RestoreOS: Restore: await_update_orion;0.0129;0.0128;0.0001
RestoreOS: Restore: await_update_peppy;0.0125;0.0123;0.0002
RestoreOS: Restore: await_update_nitrogen;0.0141;0.014;0.0001
RestoreOS: Restore: await_update_usbc;0.0121;0.0103;0.0018
RestoreOS: Restore: update_ace3;11.0933;11.1927;-0.0994
RestoreOS: Restore: update_usbcretimer;103.2622;103.2413;0.0209
RestoreOS: Restore: update_PFX;0.0711;0.0702;0.0009
RestoreOS: Restore: update_PS190;78.1316;78.1716;-0.04
RestoreOS: Restore: await_update_stockholm;0.0136;0.0142;-0.0006
RestoreOS: Restore: await_update_rose;0.0127;0.0133;-0.0006
RestoreOS: Restore: await_update_se;0.0121;0.0109;0.0012
RestoreOS: Restore: await_update_update_veridian;0.0146;0.0125;0.0021
RestoreOS: Restore: update_device_firmware;0.0368;0.0354;0.0014
RestoreOS: Restore: certify_yonkers;0.0094;0.0086;0.0008
RestoreOS: Restore: aru_pre_seal_tasks;0.0345;0.0278;0.0067
RestoreOS: Restore: dotara_lock;0.0091;0.007;0.0021
RestoreOS: Restore: update_syscfg;5.7578;5.7255;0.0323
RestoreOS: Restore: submit_provinfo;0.0092999999999999;0.0104;-0.0011
RestoreOS: Restore: verify_fdr_data;6.9165;6.9096;0.0069
RestoreOS: Restore: update_rose_postseal;0.0737;0.0747;-0.001
RestoreOS: Restore: stage_fdr_ean;0.0519;0.0514;0.0005
RestoreOS: Restore: ensure_fdr_ean;0.042;0.0399;0.0021
RestoreOS: Restore: update_fdr_ean;1.0266;1.0409;-0.0143
RestoreOS: Restore: update_fillmore;0.0117;0.0105;0.0012
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0115;0.0123;-0.0008
