Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-14_22-51-26-0x1810862220011C;
DFU Mode: Restore;3.2191;
DFU Mode: Transitioning;3.2612;
Recovery: Restore;8.486700000000001;
Recovery: Transitioning;62.1772;
RestoreOS: Restore;2419.725;
RestoreOS: Transitioning;141.4296;
Total Restore Time;2638.299;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.0081;
RestoreOS: Restore: copy_restore_options;0.2675;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0231;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0065;
RestoreOS: Restore: check_battery_voltage;0.0112;
RestoreOS: Restore: check_battery_capacity;0.0105;
RestoreOS: Restore: update_macos_ticket;0.0223;
RestoreOS: Restore: update_ticket;0.0184;
RestoreOS: Restore: wait_for_storage;0.0488;
RestoreOS: Restore: update_NAND_firmware;8.990500000000001;
RestoreOS: Restore: clear_remap_variable;0.011;
RestoreOS: Restore: print_nvram_variables;0.067;
RestoreOS: Restore: asp_nand_set_writable;0.0075;
RestoreOS: Restore: find_filesystem_partitions;0.2006;
RestoreOS: Restore: verify_storage_for_update;0.0071;
RestoreOS: Restore: load_sep_os;2.931;
RestoreOS: Restore: preload_keys_for_fsck;0.009599999999999999;
RestoreOS: Restore: fsck_filesystems;0.0156;
RestoreOS: Restore: mount_system_partition;0.7179;
RestoreOS: Restore: fix_cache_delete;0.0076;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.0125;
RestoreOS: Restore: fdr_save_data;0.0102;
RestoreOS: Restore: sep_attest_qa;0.0071;
RestoreOS: Restore: certify_sep;0.0071;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008500000000000001;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6937;
RestoreOS: Restore: unmount_unconditionally;0.0319;
RestoreOS: Restore: clean_nand;2.9145;
RestoreOS: Restore: clear_nvram;0.008800000000000001;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0242;
RestoreOS: Restore: format_effaceable_storage;0.0098;
RestoreOS: Restore: format_ean_storage;0.0147;
RestoreOS: Restore: create_filesystem_partitions;0.0638;
RestoreOS: Restore: update_partitions_for_apfs;0.0144;
RestoreOS: Restore: reload_filesystem_partitions;0.0311;
RestoreOS: Restore: format_media;8.771599999999999;
RestoreOS: Restore: find_volumes_after_format;0.0533;
RestoreOS: Restore: provision_mesa;0.0105;
RestoreOS: Restore: prepare_for_system_image;2.5254;
RestoreOS: Restore: init_gigalocker;1.5361;
RestoreOS: Restore: init_permanent_update_volume;1.4876;
RestoreOS: Restore: mount_filesystem;2.0104;
RestoreOS: Restore: restore_system_image;0.0108;
RestoreOS: Restore: write_persistent_files;0.0465;
RestoreOS: Restore: perform_short_prepare;0.008500000000000001;
RestoreOS: Restore: fdr_restore_saved_data;0.0339;
RestoreOS: Restore: write_factory_version_plist;0.0122;
RestoreOS: Restore: update_aht;0.1432;
RestoreOS: Restore: fdr_prepare;0.0159;
RestoreOS: Restore: install_stage1_firmware;0.0077;
RestoreOS: Restore: aru_migrate_data;0.0076;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;13.0986;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0095;
RestoreOS: Restore: send_provisioning_info;0.0094;
RestoreOS: Restore: certify_lynx;0.1776;
RestoreOS: Restore: write_0cfg;0.0572;
RestoreOS: Restore: update_veridian;0.6801;
RestoreOS: Restore: update_iBoot;9.3348;
RestoreOS: Restore: update_ean;0.4796;
RestoreOS: Restore: update_stockholm;0.0308;
RestoreOS: Restore: update_rose;0.0182;
RestoreOS: Restore: update_se;0.0225;
RestoreOS: Restore: update_tcon;0.0126;
RestoreOS: Restore: update_appletcon;0.015;
RestoreOS: Restore: update_orion;0.0148;
RestoreOS: Restore: update_madea;0.0125;
RestoreOS: Restore: update_peppy;0.0113;
RestoreOS: Restore: update_nitrogen;0.0128;
RestoreOS: Restore: update_usbc;0.0118;
RestoreOS: Restore: update_centauri;18.7675;
RestoreOS: Restore: await_update_tcon;0.0324;
RestoreOS: Restore: await_update_appletcon;0.0132;
RestoreOS: Restore: await_update_orion;0.0109;
