Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-15_07-13-21-0x1810862220011C;
DFU Mode: Restore;3.2394;
DFU Mode: Transitioning;3.2405;
Recovery: Restore;8.5905;
Recovery: Transitioning;61.5291;
RestoreOS: Restore;2426.8922;
RestoreOS: Transitioning;141.6505;
Total Restore Time;2645.142;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0.0001;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0;
RestoreOS: Restore: copy_restore_options;0.1018;
RestoreOS: Restore: wait_for_debugger;0.0063;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0119;
RestoreOS: Restore: set_weight_from_options;0.0083;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0115;
RestoreOS: Restore: check_battery_capacity;0.0106;
RestoreOS: Restore: update_macos_ticket;0.0224;
RestoreOS: Restore: update_ticket;0.0184;
RestoreOS: Restore: wait_for_storage;0.05;
RestoreOS: Restore: update_NAND_firmware;8.9481;
RestoreOS: Restore: clear_remap_variable;0.0111;
RestoreOS: Restore: print_nvram_variables;0.07099999999999999;
RestoreOS: Restore: asp_nand_set_writable;0.0077;
RestoreOS: Restore: find_filesystem_partitions;0.0622;
RestoreOS: Restore: verify_storage_for_update;0.0071;
RestoreOS: Restore: load_sep_os;2.915;
RestoreOS: Restore: preload_keys_for_fsck;0.0095;
RestoreOS: Restore: fsck_filesystems;0.0157;
RestoreOS: Restore: mount_system_partition;1.0875;
RestoreOS: Restore: fix_cache_delete;0.0076;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0075;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.007;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0071;
RestoreOS: Restore: fdr_create;2.008;
RestoreOS: Restore: fdr_save_data;0.0104;
RestoreOS: Restore: sep_attest_qa;0.0073;
RestoreOS: Restore: certify_sep;0.0071;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008399999999999999;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.7036;
RestoreOS: Restore: unmount_unconditionally;0.0324;
RestoreOS: Restore: clean_nand;2.8946;
RestoreOS: Restore: clear_nvram;0.0092;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0229;
RestoreOS: Restore: format_effaceable_storage;0.0097;
RestoreOS: Restore: format_ean_storage;0.0147;
RestoreOS: Restore: create_filesystem_partitions;0.0646;
RestoreOS: Restore: update_partitions_for_apfs;0.0144;
RestoreOS: Restore: reload_filesystem_partitions;0.032;
RestoreOS: Restore: format_media;8.7807;
RestoreOS: Restore: find_volumes_after_format;0.0542;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5298;
RestoreOS: Restore: init_gigalocker;1.5488;
RestoreOS: Restore: init_permanent_update_volume;1.5162;
RestoreOS: Restore: mount_filesystem;2.0122;
RestoreOS: Restore: restore_system_image;0.0108;
RestoreOS: Restore: write_persistent_files;0.046;
RestoreOS: Restore: perform_short_prepare;0.0083;
RestoreOS: Restore: fdr_restore_saved_data;0.0341;
RestoreOS: Restore: write_factory_version_plist;0.0114;
RestoreOS: Restore: update_aht;0.1462;
RestoreOS: Restore: fdr_prepare;0.016;
RestoreOS: Restore: install_stage1_firmware;0.0078;
RestoreOS: Restore: aru_migrate_data;0.0075;
RestoreOS: Restore: await_provisioning_mesa;0.012;
RestoreOS: Restore: fdr_recover;15.0908;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0089;
RestoreOS: Restore: send_provisioning_info;0.0091;
RestoreOS: Restore: certify_lynx;0.1788;
RestoreOS: Restore: write_0cfg;0.0561;
RestoreOS: Restore: update_veridian;0.7022;
RestoreOS: Restore: update_iBoot;9.5913;
RestoreOS: Restore: update_ean;0.4726;
RestoreOS: Restore: update_stockholm;0.0309;
RestoreOS: Restore: update_rose;0.0186;
RestoreOS: Restore: update_se;0.0142;
RestoreOS: Restore: update_tcon;0.0136;
RestoreOS: Restore: update_appletcon;0.0162;
RestoreOS: Restore: update_orion;0.0158;
RestoreOS: Restore: update_madea;0.0121;
RestoreOS: Restore: update_peppy;0.0113;
RestoreOS: Restore: update_nitrogen;0.0127;
RestoreOS: Restore: update_usbc;0.0126;
RestoreOS: Restore: update_centauri;18.6482;
RestoreOS: Restore: await_update_tcon;0.0307;
RestoreOS: Restore: await_update_appletcon;0.0135;
RestoreOS: Restore: await_update_orion;0.0108;
RestoreOS: Restore: await_update_peppy;0.0142;
RestoreOS: Restore: await_update_nitrogen;0.0121;
RestoreOS: Restore: await_update_usbc;0.013;
RestoreOS: Restore: update_ace3;11.122;
RestoreOS: Restore: update_usbcretimer;103.3302;
RestoreOS: Restore: update_PFX;0.0702;
RestoreOS: Restore: update_PS190;78.1794;
RestoreOS: Restore: await_update_stockholm;0.0136;
RestoreOS: Restore: await_update_rose;0.0131;
RestoreOS: Restore: await_update_se;0.0115;
RestoreOS: Restore: await_update_update_veridian;0.0137;
RestoreOS: Restore: update_device_firmware;0.0345;
RestoreOS: Restore: certify_yonkers;0.0121;
RestoreOS: Restore: aru_pre_seal_tasks;0.0281;
RestoreOS: Restore: dotara_lock;0.0073;
RestoreOS: Restore: update_syscfg;5.7823;
RestoreOS: Restore: submit_provinfo;0.0108;
RestoreOS: Restore: verify_fdr_data;6.9251;
RestoreOS: Restore: update_rose_postseal;0.0742;
RestoreOS: Restore: stage_fdr_ean;0.0515;
RestoreOS: Restore: ensure_fdr_ean;0.0416;
RestoreOS: Restore: update_fdr_ean;1.0298;
RestoreOS: Restore: update_fillmore;0.011;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0119;
RestoreOS: Restore: commit_sep_os;4.1058;
RestoreOS: Restore: run_sep_eeprom_test;22.751;
RestoreOS: Restore: pair_stockholm;0.0065;
RestoreOS: Restore: verify_se_pairing;0.0094;
RestoreOS: Restore: await_system_image_invert_retry;1026.5319;
RestoreOS: Restore: create_protected_filesystems;5.6769;
RestoreOS: Restore: create_volume_group;0.0371;
RestoreOS: Restore: reserve_overprov_space;0.0094;
RestoreOS: Restore: install_regulatory_images;0.9988;
RestoreOS: Restore: read_new_os_build_version;0.0199;
RestoreOS: Restore: install_splat;0.0236;
RestoreOS: Restore: install_root;0.0072;
RestoreOS: Restore: install_overlay_roots;0.1101;
RestoreOS: Restore: install_splat_overlay_roots;0.0148;
RestoreOS: Restore: install_regulatory_images_root;0.0143;
RestoreOS: Restore: install_update_volume_root;0.0114;
RestoreOS: Restore: restored_fixup_system;582.2799;
RestoreOS: Restore: write_ticket;0.0371;
RestoreOS: Restore: fixup_var;0.8353;
RestoreOS: Restore: create_partition_mountpoints;0.0242;
RestoreOS: Restore: factory_restore_marker;0.0114;
RestoreOS: Restore: factory_ucrt;6.168;
RestoreOS: Restore: factory_mac_check_flag;0.0125;
RestoreOS: Restore: aru_post_seal_tasks;0.0215;
RestoreOS: Restore: factory_sad_config;0.0113;
RestoreOS: Restore: create_production_ucrt;0.0118;
RestoreOS: Restore: create_production_dcrt;0.0104;
RestoreOS: Restore: store_device_time;0.02;
RestoreOS: Restore: attest_restore;37.4133;
RestoreOS: Restore: set_one_time_boot_command;0.0126;
RestoreOS: Restore: set_nvram_variables;0.0276;
RestoreOS: Restore: persistent_boot_args;0.0179;
RestoreOS: Restore: set_tdm;0.008;
RestoreOS: Restore: unprovision_mesa;0.0367;
RestoreOS: Restore: fsck_recovery_volume;1.3059;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6657999999999999;
RestoreOS: Restore: macos_populate_system_recovery_os;176.483;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: preserve_source_boot_objects;31.6802;
RestoreOS: Restore: macos_create_recovery_local_policy;3.1369;
RestoreOS: Restore: generate_default_local_policy;1.8083;
RestoreOS: Restore: populate_preboot_volume;4.3107;
RestoreOS: Restore: populate_isc_preboot_volume;0.7519;
RestoreOS: Restore: populate_paired_recovery_volume;124.603;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.01;
RestoreOS: Restore: bless_system_volume;16.214;
RestoreOS: Restore: boot_global_signed_centauri;0.0115;
RestoreOS: Restore: set_boot_command;0.0081;
RestoreOS: Restore: set_bootable;0.015;
RestoreOS: Restore: seal_system_volume;80.11620000000001;
RestoreOS: Restore: create_system_snapshot;3.7682;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.0153;
RestoreOS: Restore: adjust_recovery_mode_output;0.0119;
RestoreOS: Restore: set_autoboot_delay;0.0327;
RestoreOS: Restore: dut_power_settings_handling;0.0069;
RestoreOS: Restore: unmount_filesystems;0.073;
RestoreOS: Restore: cleanup_boot_command;0.0153;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0068;
RestoreOS: Restore: cleanup_send_crash_logs;0.0098;
RestoreOS: Restore: cleanup_send_final_status;0.0586;
RestoreOS: Restore: cleanup_wait_status_received;0.0107;
RestoreOS: Restore: cleanup_write_restore_log;0.0067;
RestoreOS: Restore: cleanup_failure_warning;0.0065;
RestoreOS: Restore: cleanup_post_restore;0.0078;
RestoreOS: Restore: cleanup_release;0.0066;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0139;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1277.5469;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0177;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5165;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0249;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0171;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0244;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0175;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0175;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0165;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0156;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.1284;
