Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_19-49-21-0x1810862220011C;
DFU Mode: Restore;5.4224;
DFU Mode: Transitioning;3.0636;
Recovery: Restore;8.5883;
Recovery: Transitioning;61.8787;
RestoreOS: Restore;2419.8831;
RestoreOS: Transitioning;141.8244;
Total Restore Time;2640.66;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2682;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0065;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.008200000000000001;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0067;
RestoreOS: Restore: check_battery_voltage;0.0112;
RestoreOS: Restore: check_battery_capacity;0.0105;
RestoreOS: Restore: update_macos_ticket;0.0224;
RestoreOS: Restore: update_ticket;0.0183;
RestoreOS: Restore: wait_for_storage;0.0487;
RestoreOS: Restore: update_NAND_firmware;8.898099999999999;
RestoreOS: Restore: clear_remap_variable;0.004;
RestoreOS: Restore: print_nvram_variables;0.0044;
RestoreOS: Restore: asp_nand_set_writable;0.0022;
RestoreOS: Restore: find_filesystem_partitions;0.2178;
RestoreOS: Restore: verify_storage_for_update;0.0073;
RestoreOS: Restore: load_sep_os;2.9161;
RestoreOS: Restore: preload_keys_for_fsck;0.0095;
RestoreOS: Restore: fsck_filesystems;0.0156;
RestoreOS: Restore: mount_system_partition;1.0847;
RestoreOS: Restore: fix_cache_delete;0.0074;
RestoreOS: Restore: clean_update_volume;0.0065;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.007;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.0122;
RestoreOS: Restore: fdr_save_data;0.01;
RestoreOS: Restore: sep_attest_qa;0.0071;
RestoreOS: Restore: certify_sep;0.007;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.007900000000000001;
RestoreOS: Restore: read_persistent_files;0.702;
RestoreOS: Restore: unmount_unconditionally;0.032;
RestoreOS: Restore: clean_nand;2.8419;
RestoreOS: Restore: clear_nvram;0.0058;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0226;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0149;
RestoreOS: Restore: create_filesystem_partitions;0.06469999999999999;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.0313;
RestoreOS: Restore: format_media;8.711600000000001;
RestoreOS: Restore: find_volumes_after_format;0.0535;
RestoreOS: Restore: provision_mesa;0.0105;
RestoreOS: Restore: prepare_for_system_image;2.4963;
RestoreOS: Restore: init_gigalocker;1.5446;
RestoreOS: Restore: init_permanent_update_volume;1.4922;
RestoreOS: Restore: mount_filesystem;1.9941;
RestoreOS: Restore: restore_system_image;0.0109;
RestoreOS: Restore: write_persistent_files;0.046;
RestoreOS: Restore: perform_short_prepare;0.0083;
RestoreOS: Restore: fdr_restore_saved_data;0.034;
RestoreOS: Restore: write_factory_version_plist;0.0113;
RestoreOS: Restore: update_aht;0.15;
RestoreOS: Restore: fdr_prepare;0.0158;
RestoreOS: Restore: install_stage1_firmware;0.0078;
RestoreOS: Restore: aru_migrate_data;0.0119;
RestoreOS: Restore: await_provisioning_mesa;0.0119;
RestoreOS: Restore: fdr_recover;13.0014;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0095;
RestoreOS: Restore: send_provisioning_info;0.0072;
RestoreOS: Restore: certify_lynx;0.1752;
RestoreOS: Restore: write_0cfg;0.0558;
RestoreOS: Restore: update_veridian;0.6761;
RestoreOS: Restore: update_iBoot;9.381;
RestoreOS: Restore: update_ean;0.5034999999999999;
RestoreOS: Restore: update_stockholm;0.0281;
RestoreOS: Restore: update_rose;0.0182;
RestoreOS: Restore: update_se;0.0227;
RestoreOS: Restore: update_tcon;0.008399999999999999;
RestoreOS: Restore: update_appletcon;0.0136;
RestoreOS: Restore: update_orion;0.0158;
RestoreOS: Restore: update_madea;0.0117;
RestoreOS: Restore: update_peppy;0.0108;
RestoreOS: Restore: update_nitrogen;0.0134;
