Log Folder Path;~/Desktop/logs/2025-09-09_10-55-28-0x1810862220011C/archive_20250909_114043;
DFU Mode: Restore;6.8183;
DFU Mode: Transitioning;3.0278;
Recovery: Restore;12.3158;
Recovery: Transitioning;60.8728;
RestoreOS: Restore;2426.0608;
RestoreOS: Transitioning;143.0056;
Total Restore Time;2652.101;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0002;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2682;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0069;
RestoreOS: Restore: network_config_enforce;0.0064;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.0083;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0233;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0112;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0223;
RestoreOS: Restore: update_ticket;0.0187;
RestoreOS: Restore: wait_for_storage;0.0486;
RestoreOS: Restore: update_NAND_firmware;8.947900000000001;
RestoreOS: Restore: clear_remap_variable;0.011;
RestoreOS: Restore: print_nvram_variables;0.0665;
RestoreOS: Restore: asp_nand_set_writable;0.0072;
RestoreOS: Restore: find_filesystem_partitions;0.0564;
