Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_22-50-04-0x1810862220011C;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6918;
RestoreOS: Restore: unmount_unconditionally;0.0318;
RestoreOS: Restore: clean_nand;2.8373;
RestoreOS: Restore: clear_nvram;0.008999999999999999;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0228;
RestoreOS: Restore: format_effaceable_storage;0.0098;
RestoreOS: Restore: format_ean_storage;0.0147;
RestoreOS: Restore: create_filesystem_partitions;0.0643;
RestoreOS: Restore: update_partitions_for_apfs;0.0143;
RestoreOS: Restore: reload_filesystem_partitions;0.0309;
RestoreOS: Restore: format_media;8.751799999999999;
RestoreOS: Restore: find_volumes_after_format;0.0528;
RestoreOS: Restore: provision_mesa;0.0105;
RestoreOS: Restore: prepare_for_system_image;2.5182;
RestoreOS: Restore: init_gigalocker;1.5507;
RestoreOS: Restore: init_permanent_update_volume;1.5031;
RestoreOS: Restore: mount_filesystem;1.9861;
RestoreOS: Restore: restore_system_image;0.0106;
RestoreOS: Restore: write_persistent_files;0.0459;
RestoreOS: Restore: perform_short_prepare;0.0083;
RestoreOS: Restore: fdr_restore_saved_data;0.0336;
RestoreOS: Restore: write_factory_version_plist;0.0114;
RestoreOS: Restore: update_aht;0.1445;
RestoreOS: Restore: fdr_prepare;0.0155;
RestoreOS: Restore: install_stage1_firmware;0.007900000000000001;
RestoreOS: Restore: aru_migrate_data;0.01;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;13.1232;
RestoreOS: Restore: fdr_auto_challenge_claim;0.008699999999999999;
RestoreOS: Restore: send_provisioning_info;0.0077;
RestoreOS: Restore: certify_lynx;0.1776;
RestoreOS: Restore: write_0cfg;0.0557;
RestoreOS: Restore: update_veridian;0.6771;
RestoreOS: Restore: update_iBoot;9.398199999999999;
RestoreOS: Restore: update_ean;0.4631;
RestoreOS: Restore: update_stockholm;0.0292;
RestoreOS: Restore: update_rose;0.0179;
RestoreOS: Restore: update_se;0.0227;
RestoreOS: Restore: update_tcon;0.0132;
RestoreOS: Restore: update_appletcon;0.0116;
RestoreOS: Restore: update_orion;0.0153;
RestoreOS: Restore: update_madea;0.0124;
RestoreOS: Restore: update_peppy;0.0111;
RestoreOS: Restore: update_nitrogen;0.0124;
RestoreOS: Restore: update_usbc;0.0117;
RestoreOS: Restore: update_centauri;17.8395;
RestoreOS: Restore: await_update_tcon;0.0291;
RestoreOS: Restore: await_update_appletcon;0.0138;
