Log Folder Path;~/Desktop/logs/2025-09-05_18-35-36-0x1810862220011C/archive_20250905_192045;
DFU Mode: Restore;3.6193;
DFU Mode: Transitioning;3.1127;
Recovery: Restore;8.6157;
Recovery: Transitioning;62.4203;
RestoreOS: Restore;2424.1545;
RestoreOS: Transitioning;141.3308;
Total Restore Time;2643.253;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.007900000000000001;
RestoreOS: Restore: copy_restore_options;0.2679;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0064;
RestoreOS: Restore: is_host_compatible;0.0119;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.0091;
RestoreOS: Restore: set_device_time;0.0233;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0224;
RestoreOS: Restore: update_ticket;0.0187;
RestoreOS: Restore: wait_for_storage;0.0496;
RestoreOS: Restore: update_NAND_firmware;8.9451;
RestoreOS: Restore: clear_remap_variable;0.0112;
RestoreOS: Restore: print_nvram_variables;0.0977;
RestoreOS: Restore: asp_nand_set_writable;0.0076;
RestoreOS: Restore: find_filesystem_partitions;0.1584;
RestoreOS: Restore: verify_storage_for_update;0.007;
RestoreOS: Restore: load_sep_os;2.9288;
RestoreOS: Restore: preload_keys_for_fsck;0.0091;
RestoreOS: Restore: fsck_filesystems;0.016;
RestoreOS: Restore: mount_system_partition;0.8089;
RestoreOS: Restore: fix_cache_delete;0.0076;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0076;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0065;
RestoreOS: Restore: avoid_nonui_ui_update;0.0067;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.014;
RestoreOS: Restore: fdr_save_data;0.0103;
RestoreOS: Restore: sep_attest_qa;0.0074;
RestoreOS: Restore: certify_sep;0.007;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008399999999999999;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.7007;
RestoreOS: Restore: unmount_unconditionally;0.0325;
RestoreOS: Restore: clean_nand;2.9202;
RestoreOS: Restore: clear_nvram;0.008200000000000001;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0231;
RestoreOS: Restore: format_effaceable_storage;0.01;
RestoreOS: Restore: format_ean_storage;0.0151;
