Log Folder Path;~/Desktop/logs/2025-09-05_17-50-23-0x1810862220011C/archive_20250905_183533;
DFU Mode: Restore;3.5656;
DFU Mode: Transitioning;3.1656;
Recovery: Restore;9.2026;
Recovery: Transitioning;61.8931;
RestoreOS: Restore;2424.3596;
RestoreOS: Transitioning;144.4919;
Total Restore Time;2646.678;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0002;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008200000000000001;
RestoreOS: Restore: copy_restore_options;0.2691;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0064;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0233;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0223;
RestoreOS: Restore: update_ticket;0.0185;
RestoreOS: Restore: wait_for_storage;0.0499;
RestoreOS: Restore: update_NAND_firmware;8.941599999999999;
RestoreOS: Restore: clear_remap_variable;0.011;
RestoreOS: Restore: print_nvram_variables;0.0989;
RestoreOS: Restore: asp_nand_set_writable;0.0075;
RestoreOS: Restore: find_filesystem_partitions;0.2444;
RestoreOS: Restore: verify_storage_for_update;0.0071;
RestoreOS: Restore: load_sep_os;2.9399;
RestoreOS: Restore: preload_keys_for_fsck;0.0094;
RestoreOS: Restore: fsck_filesystems;0.0158;
RestoreOS: Restore: mount_system_partition;1.0914;
RestoreOS: Restore: fix_cache_delete;0.0075;
RestoreOS: Restore: clean_update_volume;0.0067;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0076;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0071;
RestoreOS: Restore: fdr_create;2.0177;
RestoreOS: Restore: fdr_save_data;0.0098;
RestoreOS: Restore: sep_attest_qa;0.0073;
RestoreOS: Restore: certify_sep;0.0072;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008500000000000001;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.7000999999999999;
RestoreOS: Restore: unmount_unconditionally;0.0325;
RestoreOS: Restore: clean_nand;2.8461;
RestoreOS: Restore: clear_nvram;0.0092;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0225;
RestoreOS: Restore: format_effaceable_storage;0.0097;
RestoreOS: Restore: format_ean_storage;0.015;
RestoreOS: Restore: create_filesystem_partitions;0.064;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.0317;
RestoreOS: Restore: format_media;8.7355;
RestoreOS: Restore: find_volumes_after_format;0.054;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.516;
RestoreOS: Restore: init_gigalocker;1.5536;
RestoreOS: Restore: init_permanent_update_volume;1.4879;
RestoreOS: Restore: mount_filesystem;2.0177;
RestoreOS: Restore: restore_system_image;0.011;
RestoreOS: Restore: write_persistent_files;0.0461;
RestoreOS: Restore: perform_short_prepare;0.008399999999999999;
RestoreOS: Restore: fdr_restore_saved_data;0.0344;
RestoreOS: Restore: write_factory_version_plist;0.0115;
RestoreOS: Restore: update_aht;0.1447;
RestoreOS: Restore: fdr_prepare;0.0158;
RestoreOS: Restore: install_stage1_firmware;0.0077;
RestoreOS: Restore: aru_migrate_data;0.009599999999999999;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;13.0441;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0092;
RestoreOS: Restore: send_provisioning_info;0.0094;
