Log Folder Path;~/Desktop/logs/2025-09-05_10-18-31-0x1810862220011C/archive_20250905_110338;
RestoreOS: Restore: set_one_time_boot_command;0.0129;
RestoreOS: Restore: set_nvram_variables;0.0286;
RestoreOS: Restore: persistent_boot_args;0.0183;
RestoreOS: Restore: set_tdm;0.0077;
RestoreOS: Restore: unprovision_mesa;0.0364;
RestoreOS: Restore: fsck_recovery_volume;1.3049;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6636;
RestoreOS: Restore: macos_populate_system_recovery_os;175.768;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0102;
RestoreOS: Restore: preserve_source_boot_objects;33.5274;
RestoreOS: Restore: macos_create_recovery_local_policy;1.0061;
RestoreOS: Restore: generate_default_local_policy;1.7981;
RestoreOS: Restore: populate_preboot_volume;4.6446;
RestoreOS: Restore: populate_isc_preboot_volume;0.7638;
RestoreOS: Restore: populate_paired_recovery_volume;124.3378;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: bless_system_volume;18.1376;
RestoreOS: Restore: boot_global_signed_centauri;0.0115;
RestoreOS: Restore: set_boot_command;0.0081;
RestoreOS: Restore: set_bootable;0.0136;
RestoreOS: Restore: seal_system_volume;79.64790000000001;
RestoreOS: Restore: create_system_snapshot;3.772;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.0155;
RestoreOS: Restore: adjust_recovery_mode_output;0.0122;
RestoreOS: Restore: set_autoboot_delay;0.0328;
RestoreOS: Restore: dut_power_settings_handling;0.007;
RestoreOS: Restore: unmount_filesystems;0.07199999999999999;
RestoreOS: Restore: cleanup_boot_command;0.0152;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0067;
RestoreOS: Restore: cleanup_send_crash_logs;0.01;
RestoreOS: Restore: cleanup_send_final_status;0.0588;
RestoreOS: Restore: cleanup_wait_status_received;0.0107;
RestoreOS: Restore: cleanup_write_restore_log;0.0067;
RestoreOS: Restore: cleanup_failure_warning;0.0065;
RestoreOS: Restore: cleanup_post_restore;0.0077;
RestoreOS: Restore: cleanup_release;0.0065;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0137;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1273.6894;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0191;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5209;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.031;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0184;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0211;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0172;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0128;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0137;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0154;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.0426;
