Log Folder Path;~/Desktop/logs/2025-09-08_13-31-52-0x1810862220011C/archive_20250908_141702;
DFU Mode: Restore;3.3679;
DFU Mode: Transitioning;3.0989;
Recovery: Restore;8.607699999999999;
Recovery: Transitioning;61.9294;
RestoreOS: Restore;2427.3618;
RestoreOS: Transitioning;141.5926;
Total Restore Time;2645.958;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0.0081;
RestoreOS: Restore: copy_restore_options;0.2686;
RestoreOS: Restore: wait_for_debugger;0.0063;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0065;
RestoreOS: Restore: network_config_enforce;0.0065;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.0091;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0067;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0105;
RestoreOS: Restore: update_macos_ticket;0.0224;
RestoreOS: Restore: update_ticket;0.0188;
RestoreOS: Restore: wait_for_storage;0.0497;
RestoreOS: Restore: update_NAND_firmware;8.9442;
RestoreOS: Restore: clear_remap_variable;0.0047;
RestoreOS: Restore: print_nvram_variables;0.004;
RestoreOS: Restore: asp_nand_set_writable;0.0026;
RestoreOS: Restore: find_filesystem_partitions;0.1583;
RestoreOS: Restore: verify_storage_for_update;0.0071;
RestoreOS: Restore: load_sep_os;2.9068;
RestoreOS: Restore: preload_keys_for_fsck;0.0095;
RestoreOS: Restore: fsck_filesystems;0.0158;
RestoreOS: Restore: mount_system_partition;1.0756;
RestoreOS: Restore: fix_cache_delete;0.0074;
RestoreOS: Restore: clean_update_volume;0.0065;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0063;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.0088;
RestoreOS: Restore: fdr_save_data;0.0101;
RestoreOS: Restore: sep_attest_qa;0.0074;
RestoreOS: Restore: certify_sep;0.0071;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6932;
RestoreOS: Restore: unmount_unconditionally;0.0324;
RestoreOS: Restore: clean_nand;2.8771;
RestoreOS: Restore: clear_nvram;0.0092;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0246;
RestoreOS: Restore: format_effaceable_storage;0.0098;
RestoreOS: Restore: format_ean_storage;0.0148;
RestoreOS: Restore: create_filesystem_partitions;0.06419999999999999;
RestoreOS: Restore: update_partitions_for_apfs;0.0146;
RestoreOS: Restore: reload_filesystem_partitions;0.032;
RestoreOS: Restore: format_media;8.753;
RestoreOS: Restore: find_volumes_after_format;0.0538;
RestoreOS: Restore: provision_mesa;0.0106;
RestoreOS: Restore: prepare_for_system_image;2.5155;
RestoreOS: Restore: init_gigalocker;1.5461;
RestoreOS: Restore: init_permanent_update_volume;1.4929;
RestoreOS: Restore: mount_filesystem;2.0143;
RestoreOS: Restore: restore_system_image;0.0107;
RestoreOS: Restore: write_persistent_files;0.0463;
RestoreOS: Restore: perform_short_prepare;0.008399999999999999;
RestoreOS: Restore: fdr_restore_saved_data;0.034;
RestoreOS: Restore: write_factory_version_plist;0.0117;
RestoreOS: Restore: update_aht;0.1433;
RestoreOS: Restore: fdr_prepare;0.016;
RestoreOS: Restore: install_stage1_firmware;0.0077;
RestoreOS: Restore: aru_migrate_data;0.0094;
RestoreOS: Restore: await_provisioning_mesa;0.0127;
RestoreOS: Restore: fdr_recover;13.0492;
RestoreOS: Restore: fdr_auto_challenge_claim;0.011;
RestoreOS: Restore: send_provisioning_info;0.0094;
RestoreOS: Restore: certify_lynx;0.1771;
RestoreOS: Restore: write_0cfg;0.0552;
RestoreOS: Restore: update_veridian;0.6722;
RestoreOS: Restore: update_iBoot;10.4835;
RestoreOS: Restore: update_ean;0.504;
RestoreOS: Restore: update_stockholm;0.0285;
RestoreOS: Restore: update_rose;0.0183;
RestoreOS: Restore: update_se;0.0234;
RestoreOS: Restore: update_tcon;0.0126;
RestoreOS: Restore: update_appletcon;0.0131;
RestoreOS: Restore: update_orion;0.0148;
RestoreOS: Restore: update_madea;0.0124;
