Log Folder Path;~/Desktop/logs/2025-09-05_14-04-21-0x1810862220011C/archive_20250905_144932;
DFU Mode: Restore;3.5226;
DFU Mode: Transitioning;3.1896;
Recovery: Restore;8.559900000000001;
Recovery: Transitioning;61.586;
RestoreOS: Restore;2424.4303;
RestoreOS: Transitioning;145.7044;
Total Restore Time;2646.993;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0002;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0.0083;
RestoreOS: Restore: copy_restore_options;0.2692;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;
RestoreOS: Restore: network_config_enforce;0.0065;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.0091;
RestoreOS: Restore: set_device_time;0.0232;
RestoreOS: Restore: set_display_options;0.0064;
RestoreOS: Restore: check_for_untethered;0.0065;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0103;
RestoreOS: Restore: update_macos_ticket;0.0222;
RestoreOS: Restore: update_ticket;0.0182;
RestoreOS: Restore: wait_for_storage;0.05;
RestoreOS: Restore: update_NAND_firmware;8.9497;
RestoreOS: Restore: clear_remap_variable;0.0112;
RestoreOS: Restore: print_nvram_variables;0.0073;
RestoreOS: Restore: asp_nand_set_writable;0.0023;
RestoreOS: Restore: find_filesystem_partitions;0.1861;
RestoreOS: Restore: verify_storage_for_update;0.0072;
RestoreOS: Restore: load_sep_os;2.9192;
RestoreOS: Restore: preload_keys_for_fsck;0.0091;
RestoreOS: Restore: fsck_filesystems;0.0159;
RestoreOS: Restore: mount_system_partition;1.0689;
RestoreOS: Restore: fix_cache_delete;0.0074;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0073;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0063;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0069;
RestoreOS: Restore: fdr_create;1.9901;
RestoreOS: Restore: fdr_save_data;0.0098;
RestoreOS: Restore: sep_attest_qa;0.0074;
RestoreOS: Restore: certify_sep;0.0069;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008200000000000001;
RestoreOS: Restore: check_for_restore_log;0.0086;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6987;
RestoreOS: Restore: unmount_unconditionally;0.0326;
RestoreOS: Restore: clean_nand;2.9081;
RestoreOS: Restore: clear_nvram;0.0083;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0227;
